index,0,1,2,3,4,5
4/15/2017 15:15,49,86,46,52,127,15
4/15/2017 15:30,50,70,41,61,101,6
4/15/2017 15:45,51,70,31,57,86,14
4/15/2017 16:00,38,71,43,74,97,16
4/15/2017 16:15,45,89,41,68,100,11
4/15/2017 16:30,40,100,26,51,93,12
4/15/2017 16:45,41,81,40,51,108,16
4/15/2017 17:00,41,51,26,53,93,7
4/15/2017 17:15,32,46,31,40,88,12
4/15/2017 17:30,32,43,17,35,83,5
4/15/2017 17:45,21,29,14,35,63,4
4/15/2017 18:00,18,46,12,26,47,11
4/15/2017 18:15,19,16,21,34,69,4
4/15/2017 18:30,22,18,9,14,34,5
4/15/2017 18:45,14,11,8,25,19,1
4/15/2017 19:00,10,9,6,21,28,4
4/15/2017 19:15,14,4,5,13,27,4
4/15/2017 19:30,10,13,10,13,19,4
4/15/2017 19:45,11,3,6,16,21,0
4/15/2017 20:00,1,6,5,9,17,1
4/15/2017 20:15,6,2,3,9,13,2
4/15/2017 20:30,7,4,3,13,20,1
4/15/2017 20:45,6,2,5,15,18,5
4/15/2017 21:00,0,2,1,9,12,0
4/15/2017 21:15,7,3,7,11,8,1
4/15/2017 21:30,5,4,3,9,15,2
4/15/2017 21:45,4,6,3,6,11,1
4/15/2017 22:00,3,1,5,6,20,0
4/15/2017 22:15,8,4,9,11,13,0
4/15/2017 22:30,7,10,11,8,19,2
4/15/2017 22:45,7,12,8,15,10,1
4/15/2017 23:00,7,6,5,6,16,2
4/15/2017 23:15,9,11,5,14,26,0
4/15/2017 23:30,1,4,3,17,18,2
4/15/2017 23:45,8,2,5,16,21,4
4/16/2017 0:00,15,1,5,10,18,0
4/16/2017 0:15,4,1,4,6,10,3
4/16/2017 0:30,4,3,7,7,8,3
4/16/2017 0:45,1,1,6,5,5,2
4/16/2017 1:00,2,1,0,4,5,0
4/16/2017 1:15,0,1,2,0,4,0
4/16/2017 1:30,4,0,1,2,7,1
4/16/2017 1:45,0,0,1,1,4,2
4/16/2017 2:00,3,1,2,2,8,0
4/16/2017 2:15,0,0,2,4,8,1
4/16/2017 2:30,2,0,3,0,5,2
4/16/2017 2:45,3,0,2,1,3,0
4/16/2017 3:00,0,0,0,3,3,0
4/16/2017 3:15,1,1,1,3,9,0
4/16/2017 3:30,2,0,2,1,1,0
4/16/2017 3:45,5,0,1,5,3,0
4/16/2017 4:00,5,2,1,7,2,0
4/16/2017 4:15,2,0,1,1,2,2
4/16/2017 4:30,2,1,0,2,0,1
4/16/2017 4:45,0,0,0,1,1,0
4/16/2017 5:00,1,0,0,2,1,1
4/16/2017 5:15,2,0,2,3,0,0
4/16/2017 5:30,0,0,0,1,2,0
4/16/2017 5:45,1,1,0,0,3,1
4/16/2017 6:00,2,1,1,0,2,1
4/16/2017 6:15,1,1,2,0,0,0
4/16/2017 6:30,2,2,0,1,3,0
4/16/2017 6:45,3,2,1,2,4,0
4/16/2017 7:00,3,0,0,2,3,0
4/16/2017 7:15,1,4,3,3,8,0
4/16/2017 7:30,2,3,2,1,10,0
4/16/2017 7:45,5,2,0,2,8,3
4/16/2017 8:00,1,2,7,1,6,4
4/16/2017 8:15,2,2,4,2,13,1
4/16/2017 8:30,5,3,4,9,5,1
4/16/2017 8:45,3,5,5,8,15,2
4/16/2017 9:00,4,5,3,10,18,1
4/16/2017 9:15,3,3,8,6,21,0
4/16/2017 9:30,8,11,9,16,15,0
4/16/2017 9:45,7,6,11,16,23,1
4/16/2017 10:00,8,5,13,18,30,4
4/16/2017 10:15,13,11,8,18,34,7
4/16/2017 10:30,14,3,12,19,26,3
4/16/2017 10:45,13,9,12,20,36,3
4/16/2017 11:00,9,8,5,18,33,0
4/16/2017 11:15,16,8,10,20,36,2
4/16/2017 11:30,16,11,17,35,31,3
4/16/2017 11:45,25,18,9,21,46,1
4/16/2017 12:00,8,19,22,14,45,6
4/16/2017 12:15,16,26,10,24,46,8
4/16/2017 12:30,15,15,21,28,46,2
4/16/2017 12:45,14,20,16,28,48,4
4/16/2017 13:00,14,16,9,33,43,10
4/16/2017 13:15,22,13,9,25,31,1
4/16/2017 13:30,16,18,13,28,29,3
4/16/2017 13:45,18,20,12,20,39,7
4/16/2017 14:00,11,14,6,15,36,5
4/16/2017 14:15,2,2,5,17,11,2
4/16/2017 14:30,11,6,2,12,17,4
4/16/2017 14:45,11,14,6,11,25,3
4/16/2017 15:00,6,16,9,13,37,4
4/16/2017 15:15,25,17,10,21,31,7
4/16/2017 15:30,10,20,11,8,25,8
4/16/2017 15:45,3,7,8,5,19,2
4/16/2017 16:00,4,1,2,10,13,1
4/16/2017 16:15,8,12,6,4,8,0
4/16/2017 16:30,4,3,3,7,8,2
4/16/2017 16:45,7,1,2,2,12,2
4/16/2017 17:00,4,3,6,8,16,1
4/16/2017 17:15,9,8,6,12,14,1
4/16/2017 17:30,5,5,5,9,12,4
4/16/2017 17:45,0,3,2,2,10,0
4/16/2017 18:00,5,1,0,6,4,2
4/16/2017 18:15,1,1,1,5,5,1
4/16/2017 18:30,4,1,0,1,6,0
4/16/2017 18:45,3,0,4,4,9,2
4/16/2017 19:00,6,7,0,5,6,2
4/16/2017 19:15,5,5,1,10,7,1
4/16/2017 19:30,3,5,2,6,7,2
4/16/2017 19:45,6,2,5,6,15,4
4/16/2017 20:00,1,2,4,8,6,1
4/16/2017 20:15,4,1,5,10,10,2
4/16/2017 20:30,5,1,2,11,6,3
4/16/2017 20:45,3,5,2,10,15,5
4/16/2017 21:00,5,3,0,13,20,0
4/16/2017 21:15,6,4,1,6,9,4
4/16/2017 21:30,5,2,1,8,14,2
4/16/2017 21:45,7,9,3,4,9,0
4/16/2017 22:00,6,1,5,13,12,0
4/16/2017 22:15,5,4,5,14,15,0
4/16/2017 22:30,9,3,15,6,13,1
4/16/2017 22:45,1,6,5,6,10,0
4/16/2017 23:00,3,0,4,6,17,1
4/16/2017 23:15,2,2,1,4,15,5
4/16/2017 23:30,4,2,2,11,11,0
4/16/2017 23:45,6,0,2,4,6,0
4/17/2017 0:00,3,2,2,6,10,4
4/17/2017 0:15,3,1,1,2,7,2
4/17/2017 0:30,5,2,5,3,7,0
4/17/2017 0:45,3,2,1,1,5,0
4/17/2017 1:00,3,2,0,1,5,0
4/17/2017 1:15,2,1,1,2,2,0
4/17/2017 1:30,3,1,0,5,8,1
4/17/2017 1:45,0,0,4,3,5,0
4/17/2017 2:00,1,0,0,2,5,1
4/17/2017 2:15,0,1,1,1,0,0
4/17/2017 2:30,0,0,0,3,1,1
4/17/2017 2:45,0,0,0,0,1,2
4/17/2017 3:00,4,0,1,1,0,0
4/17/2017 3:15,0,0,0,2,0,0
4/17/2017 3:30,1,0,0,0,0,0
4/17/2017 3:45,0,0,1,0,0,0
4/17/2017 4:00,0,0,0,0,5,0
4/17/2017 4:15,0,0,0,0,2,0
4/17/2017 4:30,1,1,0,0,0,0
4/17/2017 4:45,0,0,0,0,1,0
4/17/2017 5:00,0,0,0,1,1,0
4/17/2017 5:15,2,1,0,1,1,0
4/17/2017 5:30,0,2,0,1,2,0
4/17/2017 5:45,3,0,2,1,3,0
4/17/2017 6:00,1,1,1,4,3,0
4/17/2017 6:15,1,1,1,3,4,0
4/17/2017 6:30,2,0,1,6,2,3
4/17/2017 6:45,3,2,3,6,9,4
4/17/2017 7:00,6,5,7,3,13,1
4/17/2017 7:15,5,4,7,7,13,2
4/17/2017 7:30,13,10,8,11,18,1
4/17/2017 7:45,8,11,7,8,24,4
4/17/2017 8:00,22,10,10,25,48,4
4/17/2017 8:15,14,24,6,13,35,3
4/17/2017 8:30,16,22,15,20,55,4
4/17/2017 8:45,13,25,8,23,39,5
4/17/2017 9:00,11,21,6,19,39,3
4/17/2017 9:15,13,9,11,10,26,7
4/17/2017 9:30,5,12,13,16,38,5
4/17/2017 9:45,16,10,14,12,35,4
4/17/2017 10:00,10,10,9,16,34,4
4/17/2017 10:15,11,7,10,6,33,4
4/17/2017 10:30,19,11,15,13,33,7
4/17/2017 10:45,16,14,11,10,43,9
4/17/2017 11:00,23,26,22,13,48,9
4/17/2017 11:15,19,15,20,12,41,8
4/17/2017 11:30,22,22,22,21,52,7
4/17/2017 11:45,17,27,17,27,47,5
4/17/2017 12:00,15,17,11,23,51,2
4/17/2017 12:15,10,19,22,27,54,7
4/17/2017 12:30,16,20,26,19,42,8
4/17/2017 12:45,19,19,19,23,44,4
4/17/2017 13:00,20,32,23,31,48,7
4/17/2017 13:15,21,27,19,22,51,5
4/17/2017 13:30,19,13,14,27,57,9
4/17/2017 13:45,16,22,23,35,47,7
4/17/2017 14:00,9,13,20,27,52,4
4/17/2017 14:15,25,19,17,21,40,5
4/17/2017 14:30,17,11,14,29,51,5
4/17/2017 14:45,24,31,18,19,52,2
4/17/2017 15:00,23,27,20,23,51,8
4/17/2017 15:15,19,13,28,33,62,4
4/17/2017 15:30,24,25,26,37,76,9
4/17/2017 15:45,24,21,21,35,54,8
4/17/2017 16:00,23,39,23,45,57,7
4/17/2017 16:15,21,28,20,31,62,5
4/17/2017 16:30,24,39,28,41,58,6
4/17/2017 16:45,27,35,20,32,61,9
4/17/2017 17:00,32,54,27,41,73,10
4/17/2017 17:15,36,45,17,52,58,7
4/17/2017 17:30,28,45,27,49,60,6
4/17/2017 17:45,22,42,26,55,66,10
4/17/2017 18:00,33,31,30,34,50,8
4/17/2017 18:15,24,19,21,41,71,9
4/17/2017 18:30,13,26,21,29,44,9
4/17/2017 18:45,13,10,20,39,43,5
4/17/2017 19:00,8,13,16,28,46,9
4/17/2017 19:15,17,10,11,29,49,3
4/17/2017 19:30,13,14,21,30,30,5
4/17/2017 19:45,15,12,15,17,52,4
4/17/2017 20:00,7,10,7,19,20,8
4/17/2017 20:15,10,14,12,9,34,1
4/17/2017 20:30,3,12,6,15,26,8
4/17/2017 20:45,8,8,3,11,30,5
4/17/2017 21:00,5,9,13,38,22,5
4/17/2017 21:15,3,4,6,10,18,1
4/17/2017 21:30,8,8,5,14,21,2
4/17/2017 21:45,3,8,12,10,23,2
4/17/2017 22:00,12,4,5,16,16,1
4/17/2017 22:15,2,3,7,7,18,2
4/17/2017 22:30,7,3,2,6,21,4
4/17/2017 22:45,2,6,3,7,16,5
4/17/2017 23:00,3,3,8,8,10,1
4/17/2017 23:15,1,4,4,12,15,2
4/17/2017 23:30,0,2,5,7,11,2
4/17/2017 23:45,2,3,1,13,5,1
4/18/2017 0:00,2,4,0,9,10,0
4/18/2017 0:15,2,4,3,9,7,1
4/18/2017 0:30,0,1,3,4,6,1
4/18/2017 0:45,3,1,1,8,7,0
4/18/2017 1:00,0,1,0,4,0,0
4/18/2017 1:15,0,0,0,4,1,0
4/18/2017 1:30,2,0,2,0,3,0
4/18/2017 1:45,2,0,2,2,0,0
4/18/2017 2:00,1,1,1,0,1,0
4/18/2017 2:15,0,0,2,0,2,0
4/18/2017 2:30,1,0,0,3,1,0
4/18/2017 2:45,1,0,0,0,0,1
4/18/2017 3:00,2,0,3,2,0,2
4/18/2017 3:15,0,0,0,0,1,0
4/18/2017 3:30,1,0,0,2,2,0
4/18/2017 3:45,0,1,1,1,0,0
4/18/2017 4:00,0,0,0,1,2,1
4/18/2017 4:15,2,0,0,2,1,0
4/18/2017 4:30,1,0,0,0,0,1
4/18/2017 4:45,1,0,0,0,3,0
4/18/2017 5:00,1,2,2,0,0,0
4/18/2017 5:15,2,1,2,0,2,0
4/18/2017 5:30,0,3,0,0,2,0
4/18/2017 5:45,1,2,0,2,9,1
4/18/2017 6:00,4,1,4,5,9,0
4/18/2017 6:15,5,4,9,5,9,2
4/18/2017 6:30,4,5,8,4,22,4
4/18/2017 6:45,4,10,16,8,26,5
4/18/2017 7:00,17,15,24,11,32,6
4/18/2017 7:15,23,19,29,14,48,5
4/18/2017 7:30,27,19,30,36,68,12
4/18/2017 7:45,38,36,36,32,88,6
4/18/2017 8:00,38,42,41,42,130,12
4/18/2017 8:15,45,54,52,50,131,10
4/18/2017 8:30,37,37,44,57,157,12
4/18/2017 8:45,36,50,47,46,117,6
4/18/2017 9:00,31,36,24,48,98,12
4/18/2017 9:15,15,22,25,33,71,9
4/18/2017 9:30,15,26,16,27,51,3
4/18/2017 9:45,20,17,20,20,56,4
4/18/2017 10:00,18,12,10,19,42,8
4/18/2017 10:15,16,9,13,28,38,6
4/18/2017 10:30,13,17,20,19,54,7
4/18/2017 10:45,17,17,10,24,35,2
4/18/2017 11:00,15,11,18,21,37,2
4/18/2017 11:15,17,15,13,21,39,9
4/18/2017 11:30,17,18,23,30,46,3
4/18/2017 11:45,26,23,17,33,51,2
4/18/2017 12:00,19,31,16,49,43,7
4/18/2017 12:15,29,25,16,39,48,6
4/18/2017 12:30,25,24,21,29,61,9
4/18/2017 12:45,25,36,17,41,55,3
4/18/2017 13:00,17,21,23,41,43,17
4/18/2017 13:15,15,36,16,32,58,7
4/18/2017 13:30,21,21,13,41,71,9
4/18/2017 13:45,18,31,19,33,53,8
4/18/2017 14:00,22,15,17,26,54,11
4/18/2017 14:15,18,26,15,30,50,15
4/18/2017 14:30,34,25,17,29,49,9
4/18/2017 14:45,30,20,18,45,58,9
4/18/2017 15:00,22,20,19,42,60,7
4/18/2017 15:15,34,18,27,36,55,17
4/18/2017 15:30,32,37,32,43,61,14
4/18/2017 15:45,40,39,27,35,74,12
4/18/2017 16:00,39,42,24,44,68,18
4/18/2017 16:15,47,52,25,63,84,16
4/18/2017 16:30,60,71,29,85,89,20
4/18/2017 16:45,59,55,50,71,91,19
4/18/2017 17:00,59,113,51,120,130,21
4/18/2017 17:15,56,73,44,119,129,22
4/18/2017 17:30,65,88,48,90,109,19
4/18/2017 17:45,54,79,52,80,95,23
4/18/2017 18:00,60,67,31,86,124,17
4/18/2017 18:15,43,63,38,70,112,22
4/18/2017 18:30,44,60,38,65,66,12
4/18/2017 18:45,32,63,32,61,98,17
4/18/2017 19:00,30,36,41,44,96,13
4/18/2017 19:15,26,25,35,50,62,18
4/18/2017 19:30,21,21,19,37,59,5
4/18/2017 19:45,26,19,24,23,57,6
4/18/2017 20:00,22,22,21,46,44,8
4/18/2017 20:15,11,13,22,26,44,2
4/18/2017 20:30,13,6,11,28,44,1
4/18/2017 20:45,10,7,20,17,42,3
4/18/2017 21:00,11,12,11,28,30,2
4/18/2017 21:15,16,11,14,21,26,2
4/18/2017 21:30,11,15,14,23,28,8
4/18/2017 21:45,14,8,11,13,41,7
4/18/2017 22:00,11,14,22,20,60,5
4/18/2017 22:15,9,17,17,27,28,5
4/18/2017 22:30,15,5,10,19,31,1
4/18/2017 22:45,12,7,10,17,23,5
4/18/2017 23:00,7,4,15,6,21,1
4/18/2017 23:15,7,5,11,10,15,1
4/18/2017 23:30,4,3,5,14,7,2
4/18/2017 23:45,1,4,4,10,10,1
4/19/2017 0:00,7,5,6,16,17,2
4/19/2017 0:15,7,4,4,8,18,0
4/19/2017 0:30,5,4,3,8,3,0
4/19/2017 0:45,5,0,2,5,10,1
4/19/2017 1:00,0,3,4,1,5,0
4/19/2017 1:15,1,1,0,1,3,2
4/19/2017 1:30,1,0,3,5,4,2
4/19/2017 1:45,0,0,0,6,0,1
4/19/2017 2:00,1,1,1,1,2,3
4/19/2017 2:15,0,1,1,3,4,0
4/19/2017 2:30,0,0,1,2,5,0
4/19/2017 2:45,1,0,0,1,1,1
4/19/2017 3:00,4,0,0,2,4,0
4/19/2017 3:15,1,1,2,1,0,1
4/19/2017 3:30,0,0,2,1,1,0
4/19/2017 3:45,0,1,0,1,0,1
4/19/2017 4:00,0,0,0,1,1,0
4/19/2017 4:15,1,0,0,0,2,0
4/19/2017 4:30,1,1,0,1,3,0
4/19/2017 5:00,1,1,4,1,3,0
4/19/2017 5:15,4,1,0,3,3,0
4/19/2017 5:30,2,4,2,1,6,1
4/19/2017 5:45,0,2,1,2,6,1
4/19/2017 6:00,4,0,8,5,12,0
4/19/2017 6:15,6,4,8,0,14,2
4/19/2017 6:30,12,8,6,6,27,2
4/19/2017 6:45,10,12,16,9,30,5
4/19/2017 7:00,15,12,34,10,36,2
4/19/2017 7:15,24,25,25,17,70,4
4/19/2017 7:30,24,34,26,50,68,16
4/19/2017 7:45,44,39,50,38,93,10
4/19/2017 8:00,43,51,54,48,142,10
4/19/2017 8:15,44,58,52,59,142,23
4/19/2017 8:30,49,58,45,51,159,12
4/19/2017 8:45,45,60,41,57,144,12
4/19/2017 9:00,30,37,29,33,89,13
4/19/2017 9:15,21,30,18,36,66,3
4/19/2017 9:30,16,22,11,19,68,4
4/19/2017 9:45,16,17,16,18,55,5
4/19/2017 10:00,10,12,8,17,33,6
4/19/2017 10:15,11,13,7,23,45,3
4/19/2017 10:30,9,13,13,18,31,8
4/19/2017 10:45,8,14,14,16,29,2
4/19/2017 11:00,18,17,13,20,20,9
4/19/2017 11:15,10,18,21,16,43,5
4/19/2017 11:30,12,15,18,17,41,4
4/19/2017 11:45,11,18,15,29,47,9
4/19/2017 12:00,21,21,14,31,37,6
4/19/2017 12:15,13,15,15,45,38,8
4/19/2017 12:30,16,16,11,24,40,10
4/19/2017 12:45,11,16,9,18,41,5
4/19/2017 13:00,10,9,8,18,26,3
4/19/2017 13:15,7,9,1,17,16,0
4/19/2017 13:30,6,5,8,12,15,0
4/19/2017 13:45,8,3,7,9,12,0
4/19/2017 14:00,4,2,3,5,6,2
4/19/2017 14:15,3,1,4,5,6,0
4/19/2017 14:30,1,5,0,5,13,1
4/19/2017 14:45,5,0,4,3,9,1
4/19/2017 15:00,0,2,1,4,11,0
4/19/2017 15:15,5,5,0,2,8,2
4/19/2017 15:30,1,6,2,6,16,1
4/19/2017 15:45,4,3,4,6,11,1
4/19/2017 16:00,9,5,2,3,7,1
4/19/2017 16:15,2,6,2,6,9,2
4/19/2017 16:30,8,6,3,12,12,3
4/19/2017 16:45,4,2,3,8,11,2
4/19/2017 17:00,6,6,2,7,23,1
4/19/2017 17:15,7,10,6,16,27,1
4/19/2017 17:30,8,15,13,13,32,3
4/19/2017 17:45,8,16,13,19,41,4
4/19/2017 18:00,14,13,8,26,47,4
4/19/2017 18:15,19,15,8,17,39,5
4/19/2017 18:30,13,6,5,16,17,1
4/19/2017 18:45,6,12,5,10,19,3
4/19/2017 19:00,6,9,5,10,23,2
4/19/2017 19:15,4,6,6,13,25,2
4/19/2017 19:30,4,5,7,13,22,3
4/19/2017 19:45,5,6,4,7,18,3
4/19/2017 20:00,8,7,1,7,22,1
4/19/2017 20:15,3,5,4,10,11,1
4/19/2017 20:30,2,5,8,8,16,5
4/19/2017 20:45,8,4,3,6,8,2
4/19/2017 21:00,7,1,5,7,11,0
4/19/2017 21:15,3,6,9,2,17,4
4/19/2017 21:30,5,5,2,9,20,1
4/19/2017 21:45,5,3,2,7,9,4
4/19/2017 22:00,8,3,3,6,24,4
4/19/2017 22:15,5,6,1,7,16,1
4/19/2017 22:30,6,1,3,5,13,0
4/19/2017 22:45,5,3,5,9,8,3
4/19/2017 23:00,7,5,6,14,8,1
4/19/2017 23:15,3,2,6,6,12,2
4/19/2017 23:30,3,2,2,5,12,1
4/19/2017 23:45,3,1,5,7,6,1
4/20/2017 0:00,3,0,4,7,13,1
4/20/2017 0:15,1,3,5,2,9,2
4/20/2017 0:30,1,2,2,2,4,1
4/20/2017 0:45,3,1,0,5,0,2
4/20/2017 1:00,0,1,4,2,5,0
4/20/2017 1:15,1,0,4,5,2,2
4/20/2017 1:30,0,0,0,4,5,4
4/20/2017 1:45,1,0,0,1,9,1
4/20/2017 2:00,0,0,0,3,1,1
4/20/2017 2:15,0,1,0,6,2,1
4/20/2017 2:30,4,0,2,2,4,0
4/20/2017 2:45,2,1,0,2,0,0
4/20/2017 3:00,0,0,0,3,1,1
4/20/2017 3:15,1,0,0,2,1,1
4/20/2017 3:30,1,0,1,3,2,0
4/20/2017 3:45,0,1,0,1,1,0
4/20/2017 4:00,1,0,0,0,1,0
4/20/2017 4:15,1,0,0,0,2,0
4/20/2017 4:30,0,1,0,1,3,0
4/20/2017 4:45,0,0,1,1,0,0
4/20/2017 5:00,3,1,1,2,3,0
4/20/2017 5:15,3,1,1,1,2,0
4/20/2017 5:30,0,3,1,0,4,0
4/20/2017 5:45,2,1,2,1,7,1
4/20/2017 6:00,5,2,1,2,12,2
4/20/2017 6:15,4,3,5,5,7,2
4/20/2017 6:30,9,8,7,9,20,4
4/20/2017 6:45,9,16,10,8,26,4
4/20/2017 7:00,18,13,32,6,33,7
4/20/2017 7:15,23,19,30,17,54,9
4/20/2017 7:30,30,27,40,24,79,10
4/20/2017 7:45,45,39,34,31,91,11
4/20/2017 8:00,35,34,48,52,112,11
4/20/2017 8:15,34,56,49,53,141,17
4/20/2017 8:30,42,48,40,57,122,15
4/20/2017 8:45,27,35,44,54,126,13
4/20/2017 9:00,20,42,28,44,84,7
4/20/2017 9:15,14,23,21,26,66,10
4/20/2017 9:30,17,20,28,31,58,4
4/20/2017 9:45,14,13,20,19,43,4
4/20/2017 10:00,8,11,13,17,39,6
4/20/2017 10:15,4,7,11,17,43,7
4/20/2017 10:30,10,7,19,12,34,4
4/20/2017 10:45,8,9,9,26,33,4
4/20/2017 11:00,13,13,9,19,48,7
4/20/2017 11:15,15,11,9,24,22,4
4/20/2017 11:30,16,14,9,26,42,8
4/20/2017 11:45,13,25,15,25,48,5
4/20/2017 12:00,22,17,19,34,39,2
4/20/2017 12:15,21,17,27,20,52,10
4/20/2017 12:30,18,14,16,38,56,4
4/20/2017 12:45,15,17,14,25,54,5
4/20/2017 13:00,14,22,22,35,50,8
4/20/2017 13:15,22,19,14,29,36,3
4/20/2017 13:30,15,15,17,33,49,4
4/20/2017 13:45,17,30,18,20,39,8
4/20/2017 14:00,15,22,14,32,33,8
4/20/2017 14:15,21,15,14,29,49,10
4/20/2017 14:30,19,13,15,23,51,6
4/20/2017 14:45,20,21,17,34,43,8
4/20/2017 15:00,24,19,25,37,43,6
4/20/2017 15:15,14,33,16,33,52,9
4/20/2017 15:30,20,24,28,28,60,9
4/20/2017 15:45,25,27,29,43,68,13
4/20/2017 16:00,32,43,30,60,62,14
4/20/2017 16:15,29,48,28,50,78,16
4/20/2017 16:30,48,54,37,79,75,15
4/20/2017 16:45,41,56,45,85,80,14
4/20/2017 17:00,55,72,42,100,110,17
4/20/2017 17:15,41,73,43,104,127,19
4/20/2017 17:30,43,67,39,86,121,12
4/20/2017 17:45,45,56,35,83,128,17
4/20/2017 18:00,45,55,34,100,128,16
4/20/2017 18:15,43,43,42,75,131,23
4/20/2017 18:30,31,43,33,48,115,16
4/20/2017 18:45,24,30,40,54,90,10
4/20/2017 19:00,29,36,33,36,68,10
4/20/2017 19:15,25,24,19,49,69,8
4/20/2017 19:30,20,19,33,28,49,9
4/20/2017 19:45,21,14,20,38,57,8
4/20/2017 20:00,15,12,26,30,39,14
4/20/2017 20:15,22,14,16,31,45,10
4/20/2017 20:30,16,18,15,14,51,7
4/20/2017 20:45,23,19,18,27,40,9
4/20/2017 21:00,17,16,11,26,61,8
4/20/2017 21:15,26,4,8,25,46,6
4/20/2017 21:30,9,8,20,18,29,5
4/20/2017 21:45,13,9,17,23,44,4
4/20/2017 22:00,22,11,8,15,26,8
4/20/2017 22:15,18,19,22,26,51,4
4/20/2017 22:30,13,17,16,26,60,8
4/20/2017 22:45,11,16,15,29,53,4
4/20/2017 23:00,7,7,11,12,39,0
4/20/2017 23:15,5,3,8,10,29,4
4/20/2017 23:30,6,3,8,4,19,2
4/20/2017 23:45,9,5,10,5,23,4
4/21/2017 0:00,5,7,4,17,16,2
4/21/2017 0:15,5,6,5,4,23,2
4/21/2017 0:30,5,9,5,9,10,2
4/21/2017 0:45,6,5,4,4,6,5
4/21/2017 1:00,2,2,1,7,10,1
4/21/2017 1:15,2,2,1,5,6,3
4/21/2017 1:30,0,0,2,12,4,0
4/21/2017 1:45,3,2,3,3,6,1
4/21/2017 2:00,3,1,4,2,10,0
4/21/2017 2:15,3,2,1,1,6,4
4/21/2017 2:30,4,3,0,1,6,1
4/21/2017 2:45,0,1,0,3,2,0
4/21/2017 3:00,1,3,1,4,2,0
4/21/2017 3:15,2,0,2,5,3,0
4/21/2017 3:30,0,1,2,4,0,0
4/21/2017 3:45,1,0,0,1,5,0
4/21/2017 4:00,2,1,0,0,1,0
4/21/2017 4:15,1,1,0,1,6,0
4/21/2017 4:30,0,0,0,1,1,0
4/21/2017 4:45,1,2,0,0,0,0
4/21/2017 5:00,1,1,3,1,2,0
4/21/2017 5:15,4,0,1,4,5,0
4/21/2017 5:30,0,2,0,1,5,0
4/21/2017 5:45,1,2,1,1,4,0
4/21/2017 6:00,2,1,0,0,8,0
4/21/2017 6:15,5,0,1,1,4,0
4/21/2017 6:30,4,2,5,3,14,0
4/21/2017 6:45,4,4,3,5,16,0
4/21/2017 7:00,3,8,7,2,19,1
4/21/2017 7:15,11,6,4,5,25,2
4/21/2017 7:30,10,13,7,6,31,1
4/21/2017 7:45,7,16,12,19,31,2
